%x,%y,%file,refdes,%symbol,value,auth,date,device,documentation,footprint,model,net,netname,numslots,pagenum,pageof,revision,slot,slotdef,title,version,symversion,pn-digikey
42200,44200,ingenious_left_in.sch,C101,capacitor-2.sym,10u,,,POLARIZED_CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,P10316-ND
42900,43300,ingenious_left_in.sch,C102,capacitor-1.sym,100n,,,CAPACITOR,,805,,,,,,,,,,,,0.1,478-1395-1-ND
42200,43100,ingenious_left_in.sch,C103,capacitor-2.sym,10u,,,POLARIZED_CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,P10316-ND
42900,42200,ingenious_left_in.sch,C104,capacitor-1.sym,100n,,,CAPACITOR,,805,,,,,,,,,,,,0.1,478-1395-1-ND
52000,48800,ingenious_left_in.sch,C105,capacitor-2.sym,330u,,,CAPACITOR,,CAPPR-350P-800D__Panasonic_M-Series-A-Type.fp,,,,,,,,,,,,0.1,P10298-ND
46100,47500,ingenious_left_in.sch,C106,capacitor-3.sym,100p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,399-5571-1-ND
46100,46400,ingenious_left_in.sch,C107,capacitor-3.sym,100p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,399-5571-1-ND
46800,46400,ingenious_left_in.sch,C108,capacitor-3.sym,100p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,399-5571-1-ND
42400,45400,outsmarts_left.sch,C401,capacitor-2.sym,10u,,,POLARIZED_CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,P10316-ND
46700,48400,outsmarts_left.sch,C402,capacitor-1.sym,10u,,,CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,P10316-ND
43200,45400,outsmarts_left.sch,C403,capacitor-1.sym,100n,,,CAPACITOR,,805,,,,,,,,,,,,0.1,478-1395-1-ND
42400,44300,outsmarts_left.sch,C404,capacitor-2.sym,10u,,,POLARIZED_CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,P10316-ND
43200,44300,outsmarts_left.sch,C405,capacitor-1.sym,100n,,,CAPACITOR,,805,,,,,,,,,,,,0.1,478-1395-1-ND
46700,46600,outsmarts_left.sch,C406,capacitor-1.sym,10u,,,CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,P10316-ND
51500,46900,outsmarts_left.sch,C407,capacitor-3.sym,100p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,399-5571-1-ND
52000,46500,outsmarts_left.sch,C408,capacitor-3.sym,100p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,399-5571-1-ND
46300,49500,usb-codec.sch,C501,capacitor-1.sym,22p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,490-1591-1-ND
46100,48600,usb-codec.sch,C502,capacitor-1.sym,1u,,,CAPACITOR,,805,,,,,,,,,,,,0.1,490-4736-1-ND
41800,44200,usb-codec.sch,C503,capacitor-1.sym,1u,,,CAPACITOR,,805,,,,,,,,,,,,0.1,490-4736-1-ND
46300,48600,usb-codec.sch,C504,capacitor-1.sym,22p,,,CAPACITOR,,805,,,,,,,,,,,,0.1,490-1591-1-ND
45600,45200,usb-codec.sch,C505,capacitor-2.sym,,,,POLARIZED_CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,
45600,44500,usb-codec.sch,C506,capacitor-2.sym,,,,POLARIZED_CAPACITOR,,CAPPR-200P-500D__Panasonic_M-Series-A-Type,,,,,,,,,,,,0.1,
